"","aoi_name","Year","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","plotname"
"24","deheson_C2","2007",17.7666666666667,7.65000000000002,13.45,5.24966665608397,-23.1,89.61,22.55,61.1266666666667,366.76,50.0323516943166,18.6333333333333,7.86666666666667,14.1333333333333,3.2129944496269,-17.4,89.61,22.55,59.6466666666667,254.74,51.2737937504403,"deheson_C2_2007"
"25","deheson_C2","2008",18.0666666666667,7.98333333333334,13.7166666666667,5.15961884897196,-23.9,181.29,11.36,68.6716666666667,412.03,90.5763486681103,18.2333333333333,7.76666666666667,13.7333333333333,2.49866631092137,-15.1,181.29,13.34,92.0233333333333,287.43,67.5918660878065,"deheson_C2_2008"
"26","deheson_C2","2009",18.9166666666667,8.06666666666667,14.0333333333334,6.63043487764315,-26.5,64.65,16.62,38.185,229.11,58.5678664986058,20.6333333333333,8.5,15.1333333333333,3.86953916291506,-19,44.79,17.81,28.2533333333333,101.38,79.1557568044807,"deheson_C2_2009"
"27","deheson_C2","2010",17.0666666666667,7.78333333333335,13.15,5.98088622195741,-24,213.41,38.03,97.9383333333333,587.63,68.1614833913353,18.3333333333333,8.20000000000001,14.2333333333333,3.42685472895091,-16.8,91.52,38.03,67.1166666666667,241.04,99.4629562583818,"deheson_C2_2010"
"28","deheson_C2","2011",18.9333333333333,8.75000000000002,14.5,6.52564173089514,-26.1,118.94,12.43,72.275,433.65,51.9051198322891,20.1333333333333,10.1,15.9,4.48441746495574,-18.6,97.86,50.66,77.6433333333333,245.36,48.3163508677976,"deheson_C2_2011"
"29","deheson_C2","2012",18.8,7.18333333333335,13.2,7.25892554032621,-30.3,79.26,1.75,26.5783333333333,159.47,112.547330735948,19.5666666666667,8.26666666666667,14.3333333333334,4.38786204584117,-18.9,79.26,11.55,44.9633333333333,136.64,66.5279962653336,"deheson_C2_2012"
"30","deheson_C2","2013",17.2333333333333,7.33333333333335,12.9666666666667,5.81847631830419,-25.1,246.96,10.9,81.0666666666667,486.4,105.564884818419,17.4,7.66666666666669,13.4,3.0610455730028,-15.2,246.96,28.85,109.346666666667,338.94,78.2629557000352,"deheson_C2_2013"
"31","deheson_C2","2014",18.65,8.73333333333335,14.4666666666667,5.768766477044,-24.4,174.66,4.18,81.1533333333333,486.92,80.577385033029,20.3,9.33333333333335,15.6,3.47706773014273,-17.9,69.85,32.09,54.97,169.09,118.958038688626,"deheson_C2_2014"
"32","deheson_C2","2015",19.6333333333333,8.50000000000002,14.4666666666667,7.44410281139821,-29.5,82.03,13.09,45.8716666666667,275.23,56.4594919550666,21.4,9.63333333333335,15.9666666666667,4.3385865593916,-20.9,68.58,13.09,40.4,203.23,64.1062127507961,"deheson_C2_2015"
"33","deheson_C5","2000",18.7166666666667,7.80000000000001,13.7666666666667,7.03183238328864,-30.3,195.2,6.58,64.835,389.01,105.411224971709,18.5666666666667,8.40000000000001,14.2,4.00374824383352,-16.8,195.2,51.63,107.896666666667,330.27,63.3415005502867,"deheson_C5_2000"
