"","r_name","aoi_name","values","date"
"2414","CHELSA_pr_07_2007_V.2.1","Dehesón El Encinar - C - 2",53,"07_2007"
"2415","CHELSA_pr_07_2007_V.2.1","Dehesón El Encinar - S - 7",54,"07_2007"
"2416","CHELSA_pr_07_2007_V.2.1","Dehesón El Encinar - C - 5",52,"07_2007"
"2417","CHELSA_pr_07_2007_V.2.1","Dehesón El Encinar - W - 4",52,"07_2007"
"2418","CHELSA_pr_07_2007_V.2.1","Dehesón El Encinar - Otro - 6",52,"07_2007"
"2419","CHELSA_pr_07_2008_V.2.1","Atoquedo",149,"07_2008"
"2420","CHELSA_pr_07_2008_V.2.1","La Caña",390,"07_2008"
"2421","CHELSA_pr_07_2008_V.2.1","La Ciervina",123,"07_2008"
"2422","CHELSA_pr_07_2008_V.2.1","Las Casillas",38,"07_2008"
"2423","CHELSA_pr_07_2008_V.2.1","La Villa",43,"07_2008"
"2424","CHELSA_pr_07_2008_V.2.1","Valdelacasa",80,"07_2008"
"2425","CHELSA_pr_07_2008_V.2.1","Dehesón El Encinar - S -3",122,"07_2008"
"2426","CHELSA_pr_07_2008_V.2.1","Dehesón El Encinar - W - 1",131,"07_2008"
"2427","CHELSA_pr_07_2008_V.2.1","Dehesón El Encinar - C - 2",123,"07_2008"
"2428","CHELSA_pr_07_2008_V.2.1","Dehesón El Encinar - S - 7",117,"07_2008"
"2429","CHELSA_pr_07_2008_V.2.1","Dehesón El Encinar - C - 5",118,"07_2008"
"2430","CHELSA_pr_07_2008_V.2.1","Dehesón El Encinar - W - 4",120,"07_2008"
"2431","CHELSA_pr_07_2008_V.2.1","Dehesón El Encinar - Otro - 6",118,"07_2008"
"2432","CHELSA_pr_07_2009_V.2.1","Atoquedo",145,"07_2009"
"2433","CHELSA_pr_07_2009_V.2.1","La Caña",68,"07_2009"
"2434","CHELSA_pr_07_2009_V.2.1","La Ciervina",138,"07_2009"
"2435","CHELSA_pr_07_2009_V.2.1","Las Casillas",92,"07_2009"
"2436","CHELSA_pr_07_2009_V.2.1","La Villa",159,"07_2009"
"2437","CHELSA_pr_07_2009_V.2.1","Valdelacasa",194,"07_2009"
"2438","CHELSA_pr_07_2009_V.2.1","Dehesón El Encinar - S -3",132,"07_2009"
"2439","CHELSA_pr_07_2009_V.2.1","Dehesón El Encinar - W - 1",139,"07_2009"
"2440","CHELSA_pr_07_2009_V.2.1","Dehesón El Encinar - C - 2",139,"07_2009"
"2441","CHELSA_pr_07_2009_V.2.1","Dehesón El Encinar - S - 7",124,"07_2009"
"2442","CHELSA_pr_07_2009_V.2.1","Dehesón El Encinar - C - 5",131,"07_2009"
"2443","CHELSA_pr_07_2009_V.2.1","Dehesón El Encinar - W - 4",134,"07_2009"
"2444","CHELSA_pr_07_2009_V.2.1","Dehesón El Encinar - Otro - 6",131,"07_2009"
"2445","CHELSA_pr_07_2010_V.2.1","Atoquedo",414,"07_2010"
"2446","CHELSA_pr_07_2010_V.2.1","La Caña",97,"07_2010"
"2447","CHELSA_pr_07_2010_V.2.1","La Ciervina",392,"07_2010"
"2448","CHELSA_pr_07_2010_V.2.1","Las Casillas",209,"07_2010"
"2449","CHELSA_pr_07_2010_V.2.1","La Villa",581,"07_2010"
"2450","CHELSA_pr_07_2010_V.2.1","Valdelacasa",307,"07_2010"
"2451","CHELSA_pr_07_2010_V.2.1","Dehesón El Encinar - S -3",388,"07_2010"
"2452","CHELSA_pr_07_2010_V.2.1","Dehesón El Encinar - W - 1",363,"07_2010"
"2453","CHELSA_pr_07_2010_V.2.1","Dehesón El Encinar - C - 2",392,"07_2010"
"2454","CHELSA_pr_07_2010_V.2.1","Dehesón El Encinar - S - 7",400,"07_2010"
"2455","CHELSA_pr_07_2010_V.2.1","Dehesón El Encinar - C - 5",404,"07_2010"
"2456","CHELSA_pr_07_2010_V.2.1","Dehesón El Encinar - W - 4",404,"07_2010"
"2457","CHELSA_pr_07_2010_V.2.1","Dehesón El Encinar - Otro - 6",404,"07_2010"
"2458","CHELSA_pr_07_2011_V.2.1","Atoquedo",66,"07_2011"
"2459","CHELSA_pr_07_2011_V.2.1","La Caña",34,"07_2011"
"2460","CHELSA_pr_07_2011_V.2.1","La Ciervina",67,"07_2011"
"2461","CHELSA_pr_07_2011_V.2.1","Las Casillas",47,"07_2011"
"2462","CHELSA_pr_07_2011_V.2.1","La Villa",51,"07_2011"
"2463","CHELSA_pr_07_2011_V.2.1","Valdelacasa",38,"07_2011"
"2464","CHELSA_pr_07_2011_V.2.1","Dehesón El Encinar - S -3",72,"07_2011"
"2465","CHELSA_pr_07_2011_V.2.1","Dehesón El Encinar - W - 1",81,"07_2011"
"2466","CHELSA_pr_07_2011_V.2.1","Dehesón El Encinar - C - 2",73,"07_2011"
"2467","CHELSA_pr_07_2011_V.2.1","Dehesón El Encinar - S - 7",68,"07_2011"
"2468","CHELSA_pr_07_2011_V.2.1","Dehesón El Encinar - C - 5",70,"07_2011"
"2469","CHELSA_pr_07_2011_V.2.1","Dehesón El Encinar - W - 4",69,"07_2011"
"2470","CHELSA_pr_07_2011_V.2.1","Dehesón El Encinar - Otro - 6",70,"07_2011"
"2471","CHELSA_pr_07_2012_V.2.1","Atoquedo",344,"07_2012"
"2472","CHELSA_pr_07_2012_V.2.1","La Caña",114,"07_2012"
"2473","CHELSA_pr_07_2012_V.2.1","La Ciervina",163,"07_2012"
"2474","CHELSA_pr_07_2012_V.2.1","Las Casillas",82,"07_2012"
"2475","CHELSA_pr_07_2012_V.2.1","La Villa",84,"07_2012"
"2476","CHELSA_pr_07_2012_V.2.1","Valdelacasa",419,"07_2012"
"2477","CHELSA_pr_07_2012_V.2.1","Dehesón El Encinar - S -3",667,"07_2012"
"2478","CHELSA_pr_07_2012_V.2.1","Dehesón El Encinar - W - 1",705,"07_2012"
"2479","CHELSA_pr_07_2012_V.2.1","Dehesón El Encinar - C - 2",690,"07_2012"
"2480","CHELSA_pr_07_2012_V.2.1","Dehesón El Encinar - S - 7",646,"07_2012"
"2481","CHELSA_pr_07_2012_V.2.1","Dehesón El Encinar - C - 5",666,"07_2012"
"2482","CHELSA_pr_07_2012_V.2.1","Dehesón El Encinar - W - 4",676,"07_2012"
"2483","CHELSA_pr_07_2012_V.2.1","Dehesón El Encinar - Otro - 6",666,"07_2012"
"2484","CHELSA_pr_07_2013_V.2.1","Atoquedo",74,"07_2013"
"2485","CHELSA_pr_07_2013_V.2.1","La Caña",120,"07_2013"
"2486","CHELSA_pr_07_2013_V.2.1","La Ciervina",115,"07_2013"
"2487","CHELSA_pr_07_2013_V.2.1","Las Casillas",98,"07_2013"
"2488","CHELSA_pr_07_2013_V.2.1","La Villa",102,"07_2013"
"2489","CHELSA_pr_07_2013_V.2.1","Valdelacasa",60,"07_2013"
"2490","CHELSA_pr_07_2013_V.2.1","Dehesón El Encinar - S -3",90,"07_2013"
"2491","CHELSA_pr_07_2013_V.2.1","Dehesón El Encinar - W - 1",107,"07_2013"
"2492","CHELSA_pr_07_2013_V.2.1","Dehesón El Encinar - C - 2",102,"07_2013"
"2493","CHELSA_pr_07_2013_V.2.1","Dehesón El Encinar - S - 7",82,"07_2013"
"2494","CHELSA_pr_07_2013_V.2.1","Dehesón El Encinar - C - 5",86,"07_2013"
"2495","CHELSA_pr_07_2013_V.2.1","Dehesón El Encinar - W - 4",90,"07_2013"
"2496","CHELSA_pr_07_2013_V.2.1","Dehesón El Encinar - Otro - 6",86,"07_2013"
"2497","CHELSA_pr_07_2014_V.2.1","Atoquedo",1894,"07_2014"
"2498","CHELSA_pr_07_2014_V.2.1","La Caña",632,"07_2014"
"2499","CHELSA_pr_07_2014_V.2.1","La Ciervina",1678,"07_2014"
"2500","CHELSA_pr_07_2014_V.2.1","Las Casillas",992,"07_2014"
"2501","CHELSA_pr_07_2014_V.2.1","La Villa",1522,"07_2014"
"2502","CHELSA_pr_07_2014_V.2.1","Valdelacasa",2882,"07_2014"
"2503","CHELSA_pr_07_2014_V.2.1","Dehesón El Encinar - S -3",2872,"07_2014"
"2504","CHELSA_pr_07_2014_V.2.1","Dehesón El Encinar - W - 1",3071,"07_2014"
"2505","CHELSA_pr_07_2014_V.2.1","Dehesón El Encinar - C - 2",2714,"07_2014"
"2506","CHELSA_pr_07_2014_V.2.1","Dehesón El Encinar - S - 7",2817,"07_2014"
"2507","CHELSA_pr_07_2014_V.2.1","Dehesón El Encinar - C - 5",2713,"07_2014"
"2508","CHELSA_pr_07_2014_V.2.1","Dehesón El Encinar - W - 4",2646,"07_2014"
"2509","CHELSA_pr_07_2014_V.2.1","Dehesón El Encinar - Otro - 6",2713,"07_2014"
"2510","CHELSA_pr_07_2015_V.2.1","Atoquedo",55,"07_2015"
"2511","CHELSA_pr_07_2015_V.2.1","La Caña",185,"07_2015"
"2512","CHELSA_pr_07_2015_V.2.1","La Ciervina",61,"07_2015"
"2513","CHELSA_pr_07_2015_V.2.1","Las Casillas",103,"07_2015"
"2514","CHELSA_pr_07_2015_V.2.1","La Villa",66,"07_2015"
"2515","CHELSA_pr_07_2015_V.2.1","Valdelacasa",32,"07_2015"
"2516","CHELSA_pr_07_2015_V.2.1","Dehesón El Encinar - S -3",308,"07_2015"
"2517","CHELSA_pr_07_2015_V.2.1","Dehesón El Encinar - W - 1",334,"07_2015"
"2518","CHELSA_pr_07_2015_V.2.1","Dehesón El Encinar - C - 2",288,"07_2015"
"2519","CHELSA_pr_07_2015_V.2.1","Dehesón El Encinar - S - 7",297,"07_2015"
"2520","CHELSA_pr_07_2015_V.2.1","Dehesón El Encinar - C - 5",292,"07_2015"
"2521","CHELSA_pr_07_2015_V.2.1","Dehesón El Encinar - W - 4",282,"07_2015"
"2522","CHELSA_pr_07_2015_V.2.1","Dehesón El Encinar - Otro - 6",292,"07_2015"
"2523","CHELSA_pr_08_2002_V.2.1","Atoquedo",272,"08_2002"
"2524","CHELSA_pr_08_2002_V.2.1","La Caña",475,"08_2002"
"2525","CHELSA_pr_08_2002_V.2.1","La Ciervina",315,"08_2002"
"2526","CHELSA_pr_08_2002_V.2.1","Las Casillas",529,"08_2002"
"2527","CHELSA_pr_08_2002_V.2.1","La Villa",213,"08_2002"
"2528","CHELSA_pr_08_2002_V.2.1","Valdelacasa",185,"08_2002"
"2529","CHELSA_pr_08_2002_V.2.1","Dehesón El Encinar - S -3",986,"08_2002"
"2530","CHELSA_pr_08_2002_V.2.1","Dehesón El Encinar - W - 1",1050,"08_2002"
"2531","CHELSA_pr_08_2002_V.2.1","Dehesón El Encinar - C - 2",957,"08_2002"
"2532","CHELSA_pr_08_2002_V.2.1","Dehesón El Encinar - S - 7",962,"08_2002"
"2533","CHELSA_pr_08_2002_V.2.1","Dehesón El Encinar - C - 5",945,"08_2002"
"2534","CHELSA_pr_08_2002_V.2.1","Dehesón El Encinar - W - 4",936,"08_2002"
"2535","CHELSA_pr_08_2002_V.2.1","Dehesón El Encinar - Otro - 6",945,"08_2002"
"2536","CHELSA_pr_08_2003_V.2.1","Atoquedo",1083,"08_2003"
"2537","CHELSA_pr_08_2003_V.2.1","La Caña",2156,"08_2003"
"2538","CHELSA_pr_08_2003_V.2.1","La Ciervina",868,"08_2003"
"2539","CHELSA_pr_08_2003_V.2.1","Las Casillas",364,"08_2003"
"2540","CHELSA_pr_08_2003_V.2.1","La Villa",495,"08_2003"
"2541","CHELSA_pr_08_2003_V.2.1","Valdelacasa",475,"08_2003"
"2542","CHELSA_pr_08_2003_V.2.1","Dehesón El Encinar - S -3",1270,"08_2003"
"2543","CHELSA_pr_08_2003_V.2.1","Dehesón El Encinar - W - 1",1303,"08_2003"
"2544","CHELSA_pr_08_2003_V.2.1","Dehesón El Encinar - C - 2",1326,"08_2003"
"2545","CHELSA_pr_08_2003_V.2.1","Dehesón El Encinar - S - 7",1232,"08_2003"
"2546","CHELSA_pr_08_2003_V.2.1","Dehesón El Encinar - C - 5",1300,"08_2003"
"2547","CHELSA_pr_08_2003_V.2.1","Dehesón El Encinar - W - 4",1314,"08_2003"
"2548","CHELSA_pr_08_2003_V.2.1","Dehesón El Encinar - Otro - 6",1300,"08_2003"
"2549","CHELSA_pr_08_2004_V.2.1","Atoquedo",3245,"08_2004"
"2550","CHELSA_pr_08_2004_V.2.1","La Caña",2904,"08_2004"
"2551","CHELSA_pr_08_2004_V.2.1","La Ciervina",3136,"08_2004"
"2552","CHELSA_pr_08_2004_V.2.1","Las Casillas",2136,"08_2004"
"2553","CHELSA_pr_08_2004_V.2.1","La Villa",2517,"08_2004"
"2554","CHELSA_pr_08_2004_V.2.1","Valdelacasa",3113,"08_2004"
"2555","CHELSA_pr_08_2004_V.2.1","Dehesón El Encinar - S -3",3146,"08_2004"
"2556","CHELSA_pr_08_2004_V.2.1","Dehesón El Encinar - W - 1",3197,"08_2004"
"2557","CHELSA_pr_08_2004_V.2.1","Dehesón El Encinar - C - 2",3071,"08_2004"
"2558","CHELSA_pr_08_2004_V.2.1","Dehesón El Encinar - S - 7",3127,"08_2004"
"2559","CHELSA_pr_08_2004_V.2.1","Dehesón El Encinar - C - 5",3099,"08_2004"
"2560","CHELSA_pr_08_2004_V.2.1","Dehesón El Encinar - W - 4",3064,"08_2004"
"2561","CHELSA_pr_08_2004_V.2.1","Dehesón El Encinar - Otro - 6",3099,"08_2004"
"2562","CHELSA_pr_08_2005_V.2.1","Atoquedo",1100,"08_2005"
"2563","CHELSA_pr_08_2005_V.2.1","La Caña",335,"08_2005"
"2564","CHELSA_pr_08_2005_V.2.1","La Ciervina",820,"08_2005"
"2565","CHELSA_pr_08_2005_V.2.1","Las Casillas",242,"08_2005"
"2566","CHELSA_pr_08_2005_V.2.1","La Villa",370,"08_2005"
"2567","CHELSA_pr_08_2005_V.2.1","Valdelacasa",533,"08_2005"
"2568","CHELSA_pr_08_2005_V.2.1","Dehesón El Encinar - S -3",744,"08_2005"
"2569","CHELSA_pr_08_2005_V.2.1","Dehesón El Encinar - W - 1",754,"08_2005"
"2570","CHELSA_pr_08_2005_V.2.1","Dehesón El Encinar - C - 2",751,"08_2005"
"2571","CHELSA_pr_08_2005_V.2.1","Dehesón El Encinar - S - 7",737,"08_2005"
"2572","CHELSA_pr_08_2005_V.2.1","Dehesón El Encinar - C - 5",744,"08_2005"
"2573","CHELSA_pr_08_2005_V.2.1","Dehesón El Encinar - W - 4",747,"08_2005"
"2574","CHELSA_pr_08_2005_V.2.1","Dehesón El Encinar - Otro - 6",744,"08_2005"
"2575","CHELSA_pr_08_2006_V.2.1","Atoquedo",1331,"08_2006"
"2576","CHELSA_pr_08_2006_V.2.1","La Caña",1106,"08_2006"
"2577","CHELSA_pr_08_2006_V.2.1","La Ciervina",1140,"08_2006"
"2578","CHELSA_pr_08_2006_V.2.1","Las Casillas",938,"08_2006"
"2579","CHELSA_pr_08_2006_V.2.1","La Villa",799,"08_2006"
"2580","CHELSA_pr_08_2006_V.2.1","Valdelacasa",1164,"08_2006"
"2581","CHELSA_pr_08_2006_V.2.1","Dehesón El Encinar - S -3",880,"08_2006"
"2582","CHELSA_pr_08_2006_V.2.1","Dehesón El Encinar - W - 1",924,"08_2006"
"2583","CHELSA_pr_08_2006_V.2.1","Dehesón El Encinar - C - 2",878,"08_2006"
"2584","CHELSA_pr_08_2006_V.2.1","Dehesón El Encinar - S - 7",856,"08_2006"
"2585","CHELSA_pr_08_2006_V.2.1","Dehesón El Encinar - C - 5",860,"08_2006"
"2586","CHELSA_pr_08_2006_V.2.1","Dehesón El Encinar - W - 4",859,"08_2006"
"2587","CHELSA_pr_08_2006_V.2.1","Dehesón El Encinar - Otro - 6",860,"08_2006"
"2588","CHELSA_pr_08_2007_V.2.1","Atoquedo",1161,"08_2007"
"2589","CHELSA_pr_08_2007_V.2.1","La Caña",1911,"08_2007"
"2590","CHELSA_pr_08_2007_V.2.1","La Ciervina",1503,"08_2007"
"2591","CHELSA_pr_08_2007_V.2.1","Las Casillas",1716,"08_2007"
"2592","CHELSA_pr_08_2007_V.2.1","La Villa",2415,"08_2007"
"2593","CHELSA_pr_08_2007_V.2.1","Valdelacasa",723,"08_2007"
"2594","CHELSA_pr_08_2007_V.2.1","Dehesón El Encinar - S -3",2703,"08_2007"
"2595","CHELSA_pr_08_2007_V.2.1","Dehesón El Encinar - W - 1",2731,"08_2007"
"2596","CHELSA_pr_08_2007_V.2.1","Dehesón El Encinar - C - 2",2536,"08_2007"
"2597","CHELSA_pr_08_2007_V.2.1","Dehesón El Encinar - S - 7",2732,"08_2007"
"2598","CHELSA_pr_08_2007_V.2.1","Dehesón El Encinar - C - 5",2618,"08_2007"
"2599","CHELSA_pr_08_2007_V.2.1","Dehesón El Encinar - W - 4",2550,"08_2007"
"2600","CHELSA_pr_08_2007_V.2.1","Dehesón El Encinar - Otro - 6",2618,"08_2007"
"2601","CHELSA_pr_08_2008_V.2.1","Atoquedo",56,"08_2008"
"2602","CHELSA_pr_08_2008_V.2.1","La Caña",68,"08_2008"
"2603","CHELSA_pr_08_2008_V.2.1","La Ciervina",82,"08_2008"
"2604","CHELSA_pr_08_2008_V.2.1","Las Casillas",87,"08_2008"
"2605","CHELSA_pr_08_2008_V.2.1","La Villa",135,"08_2008"
"2606","CHELSA_pr_08_2008_V.2.1","Valdelacasa",39,"08_2008"
"2607","CHELSA_pr_08_2008_V.2.1","Dehesón El Encinar - S -3",86,"08_2008"
"2608","CHELSA_pr_08_2008_V.2.1","Dehesón El Encinar - W - 1",97,"08_2008"
"2609","CHELSA_pr_08_2008_V.2.1","Dehesón El Encinar - C - 2",94,"08_2008"
"2610","CHELSA_pr_08_2008_V.2.1","Dehesón El Encinar - S - 7",79,"08_2008"
"2611","CHELSA_pr_08_2008_V.2.1","Dehesón El Encinar - C - 5",86,"08_2008"
"2612","CHELSA_pr_08_2008_V.2.1","Dehesón El Encinar - W - 4",88,"08_2008"
"2613","CHELSA_pr_08_2008_V.2.1","Dehesón El Encinar - Otro - 6",86,"08_2008"
"2614","CHELSA_pr_08_2009_V.2.1","Atoquedo",1207,"08_2009"
"2615","CHELSA_pr_08_2009_V.2.1","La Caña",206,"08_2009"
"2616","CHELSA_pr_08_2009_V.2.1","La Ciervina",1145,"08_2009"
"2617","CHELSA_pr_08_2009_V.2.1","Las Casillas",280,"08_2009"
"2618","CHELSA_pr_08_2009_V.2.1","La Villa",543,"08_2009"
"2619","CHELSA_pr_08_2009_V.2.1","Valdelacasa",1085,"08_2009"
"2620","CHELSA_pr_08_2009_V.2.1","Dehesón El Encinar - S -3",253,"08_2009"
"2621","CHELSA_pr_08_2009_V.2.1","Dehesón El Encinar - W - 1",280,"08_2009"
"2622","CHELSA_pr_08_2009_V.2.1","Dehesón El Encinar - C - 2",247,"08_2009"
"2623","CHELSA_pr_08_2009_V.2.1","Dehesón El Encinar - S - 7",246,"08_2009"
"2624","CHELSA_pr_08_2009_V.2.1","Dehesón El Encinar - C - 5",239,"08_2009"
"2625","CHELSA_pr_08_2009_V.2.1","Dehesón El Encinar - W - 4",236,"08_2009"
"2626","CHELSA_pr_08_2009_V.2.1","Dehesón El Encinar - Otro - 6",239,"08_2009"
"2627","CHELSA_pr_08_2010_V.2.1","Atoquedo",254,"08_2010"
"2628","CHELSA_pr_08_2010_V.2.1","La Caña",634,"08_2010"
"2629","CHELSA_pr_08_2010_V.2.1","La Ciervina",237,"08_2010"
"2630","CHELSA_pr_08_2010_V.2.1","Las Casillas",407,"08_2010"
"2631","CHELSA_pr_08_2010_V.2.1","La Villa",198,"08_2010"
"2632","CHELSA_pr_08_2010_V.2.1","Valdelacasa",116,"08_2010"
"2633","CHELSA_pr_08_2010_V.2.1","Dehesón El Encinar - S -3",262,"08_2010"
"2634","CHELSA_pr_08_2010_V.2.1","Dehesón El Encinar - W - 1",297,"08_2010"
"2635","CHELSA_pr_08_2010_V.2.1","Dehesón El Encinar - C - 2",272,"08_2010"
"2636","CHELSA_pr_08_2010_V.2.1","Dehesón El Encinar - S - 7",242,"08_2010"
"2637","CHELSA_pr_08_2010_V.2.1","Dehesón El Encinar - C - 5",254,"08_2010"
"2638","CHELSA_pr_08_2010_V.2.1","Dehesón El Encinar - W - 4",256,"08_2010"
"2639","CHELSA_pr_08_2010_V.2.1","Dehesón El Encinar - Otro - 6",254,"08_2010"
"2640","CHELSA_pr_08_2011_V.2.1","Atoquedo",2132,"08_2011"
"2641","CHELSA_pr_08_2011_V.2.1","La Caña",1835,"08_2011"
"2642","CHELSA_pr_08_2011_V.2.1","La Ciervina",2030,"08_2011"
"2643","CHELSA_pr_08_2011_V.2.1","Las Casillas",2357,"08_2011"
"2644","CHELSA_pr_08_2011_V.2.1","La Villa",2755,"08_2011"
"2645","CHELSA_pr_08_2011_V.2.1","Valdelacasa",1821,"08_2011"
"2646","CHELSA_pr_08_2011_V.2.1","Dehesón El Encinar - S -3",1459,"08_2011"
"2647","CHELSA_pr_08_2011_V.2.1","Dehesón El Encinar - W - 1",1573,"08_2011"
"2648","CHELSA_pr_08_2011_V.2.1","Dehesón El Encinar - C - 2",1556,"08_2011"
"2649","CHELSA_pr_08_2011_V.2.1","Dehesón El Encinar - S - 7",1369,"08_2011"
"2650","CHELSA_pr_08_2011_V.2.1","Dehesón El Encinar - C - 5",1461,"08_2011"
"2651","CHELSA_pr_08_2011_V.2.1","Dehesón El Encinar - W - 4",1501,"08_2011"
"2652","CHELSA_pr_08_2011_V.2.1","Dehesón El Encinar - Otro - 6",1461,"08_2011"
"2653","CHELSA_pr_08_2012_V.2.1","Atoquedo",136,"08_2012"
"2654","CHELSA_pr_08_2012_V.2.1","La Caña",112,"08_2012"
"2655","CHELSA_pr_08_2012_V.2.1","La Ciervina",172,"08_2012"
"2656","CHELSA_pr_08_2012_V.2.1","Las Casillas",130,"08_2012"
"2657","CHELSA_pr_08_2012_V.2.1","La Villa",265,"08_2012"
"2658","CHELSA_pr_08_2012_V.2.1","Valdelacasa",182,"08_2012"
"2659","CHELSA_pr_08_2012_V.2.1","Dehesón El Encinar - S -3",233,"08_2012"
"2660","CHELSA_pr_08_2012_V.2.1","Dehesón El Encinar - W - 1",252,"08_2012"
"2661","CHELSA_pr_08_2012_V.2.1","Dehesón El Encinar - C - 2",234,"08_2012"
"2662","CHELSA_pr_08_2012_V.2.1","Dehesón El Encinar - S - 7",219,"08_2012"
"2663","CHELSA_pr_08_2012_V.2.1","Dehesón El Encinar - C - 5",224,"08_2012"
"2664","CHELSA_pr_08_2012_V.2.1","Dehesón El Encinar - W - 4",225,"08_2012"
"2665","CHELSA_pr_08_2012_V.2.1","Dehesón El Encinar - Otro - 6",224,"08_2012"
"2666","CHELSA_pr_08_2013_V.2.1","Atoquedo",40,"08_2013"
"2667","CHELSA_pr_08_2013_V.2.1","La Caña",238,"08_2013"
"2668","CHELSA_pr_08_2013_V.2.1","La Ciervina",36,"08_2013"
"2669","CHELSA_pr_08_2013_V.2.1","Las Casillas",38,"08_2013"
"2670","CHELSA_pr_08_2013_V.2.1","La Villa",13,"08_2013"
"2671","CHELSA_pr_08_2013_V.2.1","Valdelacasa",15,"08_2013"
"2672","CHELSA_pr_08_2013_V.2.1","Dehesón El Encinar - S -3",139,"08_2013"
"2673","CHELSA_pr_08_2013_V.2.1","Dehesón El Encinar - W - 1",151,"08_2013"
"2674","CHELSA_pr_08_2013_V.2.1","Dehesón El Encinar - C - 2",129,"08_2013"
"2675","CHELSA_pr_08_2013_V.2.1","Dehesón El Encinar - S - 7",140,"08_2013"
"2676","CHELSA_pr_08_2013_V.2.1","Dehesón El Encinar - C - 5",129,"08_2013"
"2677","CHELSA_pr_08_2013_V.2.1","Dehesón El Encinar - W - 4",124,"08_2013"
"2678","CHELSA_pr_08_2013_V.2.1","Dehesón El Encinar - Otro - 6",129,"08_2013"
"2679","CHELSA_pr_08_2014_V.2.1","Atoquedo",17,"08_2014"
"2680","CHELSA_pr_08_2014_V.2.1","La Caña",57,"08_2014"
"2681","CHELSA_pr_08_2014_V.2.1","La Ciervina",38,"08_2014"
"2682","CHELSA_pr_08_2014_V.2.1","Las Casillas",59,"08_2014"
"2683","CHELSA_pr_08_2014_V.2.1","La Villa",68,"08_2014"
"2684","CHELSA_pr_08_2014_V.2.1","Valdelacasa",21,"08_2014"
"2685","CHELSA_pr_08_2014_V.2.1","Dehesón El Encinar - S -3",46,"08_2014"
"2686","CHELSA_pr_08_2014_V.2.1","Dehesón El Encinar - W - 1",53,"08_2014"
"2687","CHELSA_pr_08_2014_V.2.1","Dehesón El Encinar - C - 2",49,"08_2014"
"2688","CHELSA_pr_08_2014_V.2.1","Dehesón El Encinar - S - 7",44,"08_2014"
"2689","CHELSA_pr_08_2014_V.2.1","Dehesón El Encinar - C - 5",47,"08_2014"
"2690","CHELSA_pr_08_2014_V.2.1","Dehesón El Encinar - W - 4",47,"08_2014"
"2691","CHELSA_pr_08_2014_V.2.1","Dehesón El Encinar - Otro - 6",47,"08_2014"
"2692","CHELSA_pr_08_2015_V.2.1","Atoquedo",493,"08_2015"
"2693","CHELSA_pr_08_2015_V.2.1","La Caña",117,"08_2015"
"2694","CHELSA_pr_08_2015_V.2.1","La Ciervina",379,"08_2015"
"2695","CHELSA_pr_08_2015_V.2.1","Las Casillas",222,"08_2015"
"2696","CHELSA_pr_08_2015_V.2.1","La Villa",538,"08_2015"
"2697","CHELSA_pr_08_2015_V.2.1","Valdelacasa",495,"08_2015"
"2698","CHELSA_pr_08_2015_V.2.1","Dehesón El Encinar - S -3",1507,"08_2015"
"2699","CHELSA_pr_08_2015_V.2.1","Dehesón El Encinar - W - 1",1572,"08_2015"
"2700","CHELSA_pr_08_2015_V.2.1","Dehesón El Encinar - C - 2",1463,"08_2015"
"2701","CHELSA_pr_08_2015_V.2.1","Dehesón El Encinar - S - 7",1500,"08_2015"
"2702","CHELSA_pr_08_2015_V.2.1","Dehesón El Encinar - C - 5",1473,"08_2015"
"2703","CHELSA_pr_08_2015_V.2.1","Dehesón El Encinar - W - 4",1455,"08_2015"
"2704","CHELSA_pr_08_2015_V.2.1","Dehesón El Encinar - Otro - 6",1473,"08_2015"
"2705","CHELSA_pr_09_2002_V.2.1","Atoquedo",11914,"09_2002"
"2706","CHELSA_pr_09_2002_V.2.1","La Caña",7999,"09_2002"
"2707","CHELSA_pr_09_2002_V.2.1","La Ciervina",11239,"09_2002"
"2708","CHELSA_pr_09_2002_V.2.1","Las Casillas",7069,"09_2002"
"2709","CHELSA_pr_09_2002_V.2.1","La Villa",11045,"09_2002"
"2710","CHELSA_pr_09_2002_V.2.1","Valdelacasa",11934,"09_2002"
"2711","CHELSA_pr_09_2002_V.2.1","Dehesón El Encinar - S -3",9729,"09_2002"
"2712","CHELSA_pr_09_2002_V.2.1","Dehesón El Encinar - W - 1",10219,"09_2002"
"2713","CHELSA_pr_09_2002_V.2.1","Dehesón El Encinar - C - 2",9973,"09_2002"
"2714","CHELSA_pr_09_2002_V.2.1","Dehesón El Encinar - S - 7",9334,"09_2002"
"2715","CHELSA_pr_09_2002_V.2.1","Dehesón El Encinar - C - 5",9654,"09_2002"
"2716","CHELSA_pr_09_2002_V.2.1","Dehesón El Encinar - W - 4",9748,"09_2002"
"2717","CHELSA_pr_09_2002_V.2.1","Dehesón El Encinar - Otro - 6",9654,"09_2002"
"2718","CHELSA_pr_09_2003_V.2.1","Atoquedo",3096,"09_2003"
"2719","CHELSA_pr_09_2003_V.2.1","La Caña",2143,"09_2003"
"2720","CHELSA_pr_09_2003_V.2.1","La Ciervina",2783,"09_2003"
"2721","CHELSA_pr_09_2003_V.2.1","Las Casillas",2305,"09_2003"
"2722","CHELSA_pr_09_2003_V.2.1","La Villa",1986,"09_2003"
"2723","CHELSA_pr_09_2003_V.2.1","Valdelacasa",3107,"09_2003"
