"","r_name","aoi_name","values","date","variable"
"131","CHELSA_pr_01_2010_V.2.1","atoquedo",14936,"01_2010","pr"
"132","CHELSA_pr_01_2010_V.2.1","la_cana",12628,"01_2010","pr"
"133","CHELSA_pr_01_2010_V.2.1","la_ciervina",13975,"01_2010","pr"
"134","CHELSA_pr_01_2010_V.2.1","las_casillas",11229,"01_2010","pr"
"135","CHELSA_pr_01_2010_V.2.1","la_villa",13709,"01_2010","pr"
"136","CHELSA_pr_01_2010_V.2.1","valdelacasa",14388,"01_2010","pr"
"137","CHELSA_pr_01_2010_V.2.1","deheson_S3",13299,"01_2010","pr"
"138","CHELSA_pr_01_2010_V.2.1","deheson_W1",13554,"01_2010","pr"
"139","CHELSA_pr_01_2010_V.2.1","deheson_C2",13318,"01_2010","pr"
"140","CHELSA_pr_01_2010_V.2.1","deheson_S7",13041,"01_2010","pr"
"141","CHELSA_pr_01_2010_V.2.1","deheson_C5",13212,"01_2010","pr"
"142","CHELSA_pr_01_2010_V.2.1","deheson_W4",13220,"01_2010","pr"
"143","CHELSA_pr_01_2010_V.2.1","deheson_O6",13212,"01_2010","pr"
"144","CHELSA_pr_01_2011_V.2.1","atoquedo",10186,"01_2011","pr"
"145","CHELSA_pr_01_2011_V.2.1","la_cana",5587,"01_2011","pr"
"146","CHELSA_pr_01_2011_V.2.1","la_ciervina",8938,"01_2011","pr"
"147","CHELSA_pr_01_2011_V.2.1","las_casillas",6683,"01_2011","pr"
"148","CHELSA_pr_01_2011_V.2.1","la_villa",10518,"01_2011","pr"
"149","CHELSA_pr_01_2011_V.2.1","valdelacasa",12350,"01_2011","pr"
"150","CHELSA_pr_01_2011_V.2.1","deheson_S3",11980,"01_2011","pr"
"151","CHELSA_pr_01_2011_V.2.1","deheson_W1",12893,"01_2011","pr"
"152","CHELSA_pr_01_2011_V.2.1","deheson_C2",11894,"01_2011","pr"
"153","CHELSA_pr_01_2011_V.2.1","deheson_S7",11439,"01_2011","pr"
"154","CHELSA_pr_01_2011_V.2.1","deheson_C5",11561,"01_2011","pr"
"155","CHELSA_pr_01_2011_V.2.1","deheson_W4",11527,"01_2011","pr"
"156","CHELSA_pr_01_2011_V.2.1","deheson_O6",11561,"01_2011","pr"
"157","CHELSA_pr_01_2012_V.2.1","atoquedo",1117,"01_2012","pr"
"158","CHELSA_pr_01_2012_V.2.1","la_cana",1333,"01_2012","pr"
"159","CHELSA_pr_01_2012_V.2.1","la_ciervina",1052,"01_2012","pr"
"160","CHELSA_pr_01_2012_V.2.1","las_casillas",834,"01_2012","pr"
"161","CHELSA_pr_01_2012_V.2.1","la_villa",811,"01_2012","pr"
"162","CHELSA_pr_01_2012_V.2.1","valdelacasa",1317,"01_2012","pr"
