aoi,date,ndvi_mean
la_villa_point,2006-04-08,0.04630323991019868
la_villa_point,2006-04-24,
la_villa_point,2006-06-11,
la_villa_point,2006-01-02,
la_villa_point,2006-04-08,0.046510563823271144
la_villa_point,2006-04-24,
la_villa_point,2006-06-11,
la_villa_point,2006-01-09,
la_villa_point,2006-03-14,
la_villa_point,2006-06-02,
la_villa_point,2006-06-18,
la_villa_point,2006-07-20,
la_villa_point,2007-02-06,
la_villa_point,2007-03-10,
la_villa_point,2007-05-29,
la_villa_point,2007-02-06,
la_villa_point,2007-03-17,
la_villa_point,2007-04-18,
la_villa_point,2008-02-09,
la_villa_point,2008-03-28,
la_villa_point,2008-07-18,
la_villa_point,2008-01-31,
la_villa_point,2008-04-04,
la_villa_point,2008-07-09,
la_villa_point,2009-02-11,
la_villa_point,2009-02-27,
la_villa_point,2009-03-15,
la_villa_point,2009-03-31,
la_villa_point,2009-05-02,
la_villa_point,2009-05-18,0.16988759838484563
la_villa_point,2009-01-17,
la_villa_point,2009-02-18,
la_villa_point,2009-03-22,
la_villa_point,2009-07-28,
la_villa_point,2010-04-19,0.2390840545525008
la_villa_point,2010-05-05,
la_villa_point,2010-05-21,
la_villa_point,2010-06-06,
la_villa_point,2010-06-22,
la_villa_point,2010-03-09,
la_villa_point,2010-04-10,
la_villa_point,2011-02-01,0.7292170883032314
la_villa_point,2011-03-21,
la_villa_point,2011-04-06,
la_villa_point,2011-05-08,0.5807495394884494
la_villa_point,2011-04-13,0.8234734518445922
la_villa_point,2011-04-29,
la_villa_point,2011-05-15,
la_villa_point,2012-01-03,
la_villa_point,2012-01-19,
la_villa_point,2012-02-04,
la_villa_point,2012-02-20,
la_villa_point,2012-03-07,
la_villa_point,2012-04-08,
la_villa_point,2012-07-13,
la_villa_point,2012-07-29,
la_villa_point,2012-02-11,
la_villa_point,2012-02-27,
la_villa_point,2012-03-14,
la_villa_point,2012-04-15,0.32031663116140874
la_villa_point,2013-04-27,
la_villa_point,2013-05-13,
la_villa_point,2013-05-29,
la_villa_point,2013-06-14,
la_villa_point,2013-06-30,
la_villa_point,2013-07-16,
la_villa_point,2013-03-01,
la_villa_point,2013-04-02,
la_villa_point,2013-04-18,
la_villa_point,2013-05-04,
la_villa_point,2013-05-20,0.15527417296123364
la_villa_point,2013-06-05,
la_villa_point,2014-01-08,0.07101292772669507
la_villa_point,2014-01-24,
la_villa_point,2014-03-13,
la_villa_point,2014-04-14,
la_villa_point,2014-04-30,
la_villa_point,2014-05-16,
la_villa_point,2014-06-01,
la_villa_point,2014-06-17,
la_villa_point,2014-07-03,
la_villa_point,2014-01-31,
la_villa_point,2014-02-16,
la_villa_point,2014-03-04,0.08934894726970599
la_villa_point,2014-03-20,
la_villa_point,2014-04-21,
la_villa_point,2014-05-07,0.13285836998310196
la_villa_point,2014-05-23,0.3638578728436057
la_villa_point,2014-06-08,
la_villa_point,2014-07-10,
la_villa_point,2014-07-26,
las_casillas_point,2003-01-10,
las_casillas_point,2003-01-26,0.33815603743625283
las_casillas_point,2003-02-27,0.25046640384818286
las_casillas_point,2003-03-31,
las_casillas_point,2003-04-16,0.2631464599582878
las_casillas_point,2003-05-02,0.21380973339416065
las_casillas_point,2003-05-18,
las_casillas_point,2003-02-02,
las_casillas_point,2003-03-06,
las_casillas_point,2003-03-22,
las_casillas_point,2003-04-07,
las_casillas_point,2003-05-09,
las_casillas_point,2003-05-25,
las_casillas_point,2003-01-17,
las_casillas_point,2003-02-02,
las_casillas_point,2003-03-06,
las_casillas_point,2003-03-22,
las_casillas_point,2003-04-07,
las_casillas_point,2003-05-09,
las_casillas_point,2003-05-25,
las_casillas_point,2004-06-05,
las_casillas_point,2004-07-07,0.30516053789518577
las_casillas_point,2004-01-04,
las_casillas_point,2004-01-20,
las_casillas_point,2004-04-25,
las_casillas_point,2004-05-27,
las_casillas_point,2004-06-12,
las_casillas_point,2004-06-28,
las_casillas_point,2004-01-04,
las_casillas_point,2004-01-20,
las_casillas_point,2004-04-25,
las_casillas_point,2004-05-27,
las_casillas_point,2004-06-12,
las_casillas_point,2004-06-28,
las_casillas_point,2005-02-16,
las_casillas_point,2005-03-04,
las_casillas_point,2005-05-07,
las_casillas_point,2005-05-23,
las_casillas_point,2005-06-08,
las_casillas_point,2005-01-22,
las_casillas_point,2005-03-11,
las_casillas_point,2005-04-12,
las_casillas_point,2005-07-01,
las_casillas_point,2005-01-22,
las_casillas_point,2005-03-11,
las_casillas_point,2005-04-12,
las_casillas_point,2005-04-28,
las_casillas_point,2005-05-14,0.20168275238623343
las_casillas_point,2005-07-01,
las_casillas_point,2006-01-02,
las_casillas_point,2006-04-08,
las_casillas_point,2006-04-24,
las_casillas_point,2006-06-11,
las_casillas_point,2006-01-09,
las_casillas_point,2006-03-14,0.5158143014484322
las_casillas_point,2006-06-02,
las_casillas_point,2006-06-18,
las_casillas_point,2006-07-20,
las_casillas_point,2006-01-09,
las_casillas_point,2006-03-14,
las_casillas_point,2006-06-02,
las_casillas_point,2006-06-18,
las_casillas_point,2006-07-20,
las_casillas_point,2007-02-06,
las_casillas_point,2007-03-10,0.46814836415130506
las_casillas_point,2007-05-29,
las_casillas_point,2007-06-30,
las_casillas_point,2007-03-17,
las_casillas_point,2007-04-18,
las_casillas_point,2007-03-17,
las_casillas_point,2007-04-18,
las_casillas_point,2008-02-09,
las_casillas_point,2008-03-28,0.2692963380727659
las_casillas_point,2008-07-18,
las_casillas_point,2008-01-31,
las_casillas_point,2008-04-04,
las_casillas_point,2008-07-09,
las_casillas_point,2008-01-31,
las_casillas_point,2008-04-04,
las_casillas_point,2009-01-10,
las_casillas_point,2009-02-11,
las_casillas_point,2009-02-27,0.3315687648857556
las_casillas_point,2009-03-15,
las_casillas_point,2009-03-31,
las_casillas_point,2009-05-02,
las_casillas_point,2009-05-18,
las_casillas_point,2009-01-17,
las_casillas_point,2009-02-18,
las_casillas_point,2009-03-22,
las_casillas_point,2009-07-28,
las_casillas_point,2009-01-17,
las_casillas_point,2009-02-18,
las_casillas_point,2009-03-22,
las_casillas_point,2009-04-23,
las_casillas_point,2009-07-28,
las_casillas_point,2010-05-05,
las_casillas_point,2010-05-21,
las_casillas_point,2010-06-06,
las_casillas_point,2010-06-22,
las_casillas_point,2010-03-09,
las_casillas_point,2010-04-10,
las_casillas_point,2010-03-09,
las_casillas_point,2010-04-10,
las_casillas_point,2010-04-26,
las_casillas_point,2011-02-01,
las_casillas_point,2011-03-21,
las_casillas_point,2011-04-06,
las_casillas_point,2011-05-08,
las_casillas_point,2011-05-24,
las_casillas_point,2011-04-13,
las_casillas_point,2011-04-29,0.1672527412380492
las_casillas_point,2011-05-15,
las_casillas_point,2011-04-13,
las_casillas_point,2011-05-15,
las_casillas_point,2012-01-03,
las_casillas_point,2012-01-19,
las_casillas_point,2012-02-04,
las_casillas_point,2012-02-20,
las_casillas_point,2012-03-07,
las_casillas_point,2012-04-08,
las_casillas_point,2012-04-24,
las_casillas_point,2012-07-29,
las_casillas_point,2012-02-11,
las_casillas_point,2012-02-27,
las_casillas_point,2012-03-14,0.30624321115766495
las_casillas_point,2012-04-15,
las_casillas_point,2012-01-26,0.16923829128708662
las_casillas_point,2012-02-11,
las_casillas_point,2012-02-27,
las_casillas_point,2012-03-14,0.3109052947541927
las_casillas_point,2012-04-15,
las_casillas_point,2012-05-17,0.10252899169922289
las_casillas_point,2012-07-20,
las_casillas_point,2013-04-27,
las_casillas_point,2013-05-13,
las_casillas_point,2013-05-29,
las_casillas_point,2013-06-14,
las_casillas_point,2013-06-30,
las_casillas_point,2013-03-01,
las_casillas_point,2013-04-02,
las_casillas_point,2013-04-18,
las_casillas_point,2013-05-04,
las_casillas_point,2013-05-20,0.45571002900591123
las_casillas_point,2013-06-05,0.3451906334750119
las_casillas_point,2013-03-01,
las_casillas_point,2013-04-02,
las_casillas_point,2013-04-18,
las_casillas_point,2013-05-04,
las_casillas_point,2013-05-20,0.490838918930316
las_casillas_point,2014-01-08,
las_casillas_point,2014-01-24,
las_casillas_point,2014-03-13,
las_casillas_point,2014-04-14,
las_casillas_point,2014-04-30,
las_casillas_point,2014-05-16,0.3145687016027373
las_casillas_point,2014-06-01,
las_casillas_point,2014-06-17,
las_casillas_point,2014-07-03,0.1170057449104412
las_casillas_point,2014-01-31,0.03890308852152317
las_casillas_point,2014-02-16,
las_casillas_point,2014-03-04,0.22634148296813517
las_casillas_point,2014-03-20,
las_casillas_point,2014-04-21,0.07597405336929565
las_casillas_point,2014-05-07,
las_casillas_point,2014-05-23,0.41105225368408854
las_casillas_point,2014-06-08,0.2101299942986161
las_casillas_point,2014-07-10,
las_casillas_point,2014-07-26,
las_casillas_point,2014-02-16,
las_casillas_point,2014-03-04,0.22648983714648835
las_casillas_point,2014-03-20,
las_casillas_point,2014-04-21,0.07825571871774144
las_casillas_point,2014-05-07,
las_casillas_point,2014-05-23,0.4077817848341066
las_casillas_point,2014-06-08,0.20300364572810184
las_casillas_point,2014-06-24,
las_casillas_point,2014-07-10,
las_casillas_point,2014-07-26,
valdelacasa_point,2003-01-10,0.768344523841084
valdelacasa_point,2003-01-26,
valdelacasa_point,2003-02-11,0.47472985446715155
valdelacasa_point,2003-02-27,
valdelacasa_point,2003-03-15,0.7341702871878633
valdelacasa_point,2003-03-31,0.8229420813204578
valdelacasa_point,2003-04-16,
valdelacasa_point,2003-05-02,
valdelacasa_point,2003-05-18,0.780427357046411
valdelacasa_point,2003-02-02,0.7444183891402714
valdelacasa_point,2003-03-06,0.7618067411619218
valdelacasa_point,2003-03-22,0.20909822232728242
valdelacasa_point,2003-04-07,0.828477201647566
valdelacasa_point,2003-05-09,0.7900770256932874
valdelacasa_point,2003-05-25,0.7440573424091651
valdelacasa_point,2004-03-01,0.7810848315321379
valdelacasa_point,2004-06-05,
valdelacasa_point,2004-01-04,
valdelacasa_point,2004-01-20,0.8023985186424671
valdelacasa_point,2004-04-25,
valdelacasa_point,2004-05-27,
valdelacasa_point,2004-06-12,
valdelacasa_point,2004-06-28,0.4477930415868976
valdelacasa_point,2005-05-07,
valdelacasa_point,2005-06-08,
valdelacasa_point,2005-01-22,
valdelacasa_point,2005-03-11,0.09878133468984614
valdelacasa_point,2005-04-12,
valdelacasa_point,2005-07-01,
valdelacasa_point,2006-04-08,0.8309881435430165
valdelacasa_point,2006-04-24,
valdelacasa_point,2006-06-11,
valdelacasa_point,2006-01-09,0.4829798778250892
valdelacasa_point,2006-03-14,
valdelacasa_point,2006-06-02,0.6713106138005452
valdelacasa_point,2006-06-18,
valdelacasa_point,2006-07-20,0.4879576677928632
valdelacasa_point,2007-02-06,0.001442883365789203
valdelacasa_point,2007-03-10,
valdelacasa_point,2007-05-29,
valdelacasa_point,2007-03-17,
valdelacasa_point,2007-04-18,
valdelacasa_point,2008-02-09,0.729461578367062
valdelacasa_point,2008-03-28,0.21574168632006493
valdelacasa_point,2008-07-18,
valdelacasa_point,2008-01-31,
valdelacasa_point,2008-04-04,
valdelacasa_point,2008-07-09,
valdelacasa_point,2009-02-11,0.7451172091224885
valdelacasa_point,2009-02-27,
valdelacasa_point,2009-03-15,
valdelacasa_point,2009-03-31,
valdelacasa_point,2009-05-02,
valdelacasa_point,2009-05-18,
valdelacasa_point,2009-01-17,
valdelacasa_point,2009-02-18,0.7384991150924185
valdelacasa_point,2009-03-22,
valdelacasa_point,2009-07-28,
valdelacasa_point,2010-04-19,0.32561382513155357
valdelacasa_point,2010-05-05,0.7892755500007529
valdelacasa_point,2010-05-21,
valdelacasa_point,2010-06-06,
valdelacasa_point,2010-06-22,
valdelacasa_point,2010-03-09,0.7736393514118363
valdelacasa_point,2010-04-10,0.7797248901823404
valdelacasa_point,2011-02-01,0.7364803510649683
valdelacasa_point,2011-03-21,
valdelacasa_point,2011-04-06,
valdelacasa_point,2011-05-08,0.5593210215048312
valdelacasa_point,2011-04-13,
valdelacasa_point,2011-04-29,
valdelacasa_point,2011-05-15,
valdelacasa_point,2012-01-03,0.7185839111598651
valdelacasa_point,2012-01-19,0.6905021493496627
valdelacasa_point,2012-02-04,0.6850836418317648
valdelacasa_point,2012-02-20,0.724308914753359
valdelacasa_point,2012-03-07,
valdelacasa_point,2012-04-08,
valdelacasa_point,2012-07-13,
valdelacasa_point,2012-07-29,
valdelacasa_point,2012-02-11,0.7286429940302205
valdelacasa_point,2012-02-27,
valdelacasa_point,2012-03-14,
valdelacasa_point,2012-04-15,
valdelacasa_point,2013-04-27,0.11763905491825688
valdelacasa_point,2013-05-13,
valdelacasa_point,2013-05-29,
valdelacasa_point,2013-06-14,
valdelacasa_point,2013-06-30,
valdelacasa_point,2013-07-16,
valdelacasa_point,2013-03-01,0.8016260253704445
valdelacasa_point,2013-04-02,0.10278936186254078
valdelacasa_point,2013-04-18,0.8353453047664173
valdelacasa_point,2013-05-04,
valdelacasa_point,2013-05-20,0.1949165554591138
valdelacasa_point,2013-06-05,
valdelacasa_point,2014-01-08,
valdelacasa_point,2014-01-24,0.22740047487558757
valdelacasa_point,2014-03-13,0.8295681895785234
valdelacasa_point,2014-04-14,0.36099566069181555
valdelacasa_point,2014-04-30,
valdelacasa_point,2014-05-16,
valdelacasa_point,2014-06-01,
valdelacasa_point,2014-06-17,
valdelacasa_point,2014-07-03,0.27789667564034765
valdelacasa_point,2014-01-31,
valdelacasa_point,2014-02-16,0.7651074516338336
valdelacasa_point,2014-03-04,
valdelacasa_point,2014-03-20,0.05163401135960617
valdelacasa_point,2014-04-21,
valdelacasa_point,2014-05-07,0.16423337623811582
valdelacasa_point,2014-05-23,0.5902968167565318
valdelacasa_point,2014-06-08,
